date,product_id,brand,storage_variant,category,price,units_sold,revenue,stock,discount,views,clicks,add_to_cart,purchases,bounce_rate,flipkart_price,amazon_price,myntra_price,day_of_week,month,is_weekend
2024-01-02,M100,Samsung,64GB,Mobile,26964,35,943740,51,10,1036,257,197,35,28.28,26822,29838,25588,1,1,0
2024-01-02,M101,Samsung,128GB,Mobile,18021,25,450525,89,0,674,97,63,25,47.32,17252,18511,17842,1,1,0
2024-01-02,M102,Redmi,128GB,Mobile,16960,36,610560,118,10,628,227,153,36,65.9,16955,18567,16946,1,1,0
2024-01-02,M103,Redmi,64GB,Mobile,15476,4,61904,71,10,49,16,10,4,21.78,15625,15645,15992,1,1,0
2024-01-02,M104,Realme,128GB,Mobile,17505,21,367605,133,0,410,67,24,21,70.34,17157,18302,18253,1,1,0
2024-01-02,M105,Realme,64GB,Mobile,21987,14,307818,38,5,175,42,32,14,29.77,23704,19842,23552,1,1,0
2024-01-02,M106,iQOO,128GB,Mobile,25726,14,360164,70,10,147,44,14,14,76.61,27251,25804,26847,1,1,0
2024-01-02,M107,iQOO,256GB,Mobile,25040,30,751200,143,5,894,179,133,30,70.22,27069,23441,24824,1,1,0
2024-01-02,M108,OnePlus,128GB,Mobile,13946,16,223136,47,5,475,67,49,16,68.98,13818,13287,14035,1,1,0
2024-01-02,M109,OnePlus,256GB,Mobile,25554,38,971052,63,10,543,179,50,38,53.71,27744,23823,27069,1,1,0
2024-01-02,M110,Motorola,128GB,Mobile,21634,24,519216,81,10,454,127,51,24,66.36,22015,23522,21125,1,1,0
2024-01-02,M111,Motorola,128GB,Mobile,17186,32,549952,95,0,558,173,45,32,47.45,18104,16349,17602,1,1,0
2024-01-02,M112,Vivo,128GB,Mobile,12978,8,103824,140,0,81,25,18,8,69.34,13591,12441,11990,1,1,0
2024-01-02,M113,Vivo,64GB,Mobile,13507,28,378196,50,10,595,215,110,28,30.3,14499,13998,13857,1,1,0
2024-01-02,M114,Oppo,128GB,Mobile,29543,25,738575,79,0,550,129,45,25,21.81,32047,28148,28682,1,1,0
2024-01-02,M115,Oppo,128GB,Mobile,28049,17,476833,97,5,472,184,123,17,77.22,27783,30472,29409,1,1,0
2024-01-02,M116,Poco,256GB,Mobile,28128,8,225024,117,0,140,19,13,8,66.26,26977,29122,30357,1,1,0
2024-01-02,M117,Poco,128GB,Mobile,26215,22,576730,128,5,387,76,58,22,79.37,25924,28712,27325,1,1,0
2024-01-02,M118,Infinix,128GB,Mobile,12972,11,142692,85,5,263,28,8,11,36.94,12910,12885,13024,1,1,0
2024-01-02,M119,Tecno,64GB,Mobile,24867,17,422739,122,0,459,152,87,17,21.61,26244,27248,25344,1,1,0
2024-01-03,M100,Samsung,64GB,Mobile,26403,7,184821,94,0,167,54,21,7,23.81,28875,27458,24488,2,1,0
2024-01-03,M101,Samsung,128GB,Mobile,17801,39,694239,94,10,738,282,193,39,46.35,18812,17589,18907,2,1,0
2024-01-03,M102,Redmi,128GB,Mobile,16517,11,181687,77,0,110,34,14,11,79.77,17774,18274,15655,2,1,0
2024-01-03,M103,Redmi,64GB,Mobile,24906,1,24906,147,10,26,4,2,1,33.92,24279,24821,24767,2,1,0
2024-01-03,M104,Realme,128GB,Mobile,28144,2,56288,92,5,52,13,5,2,68.7,27207,28087,27946,2,1,0
2024-01-03,M105,Realme,64GB,Mobile,12981,20,259620,142,5,557,92,68,20,72.29,13267,14375,12119,2,1,0
2024-01-03,M106,iQOO,128GB,Mobile,17846,37,660302,60,0,1064,144,87,37,63.48,19334,16542,18940,2,1,0
2024-01-03,M107,iQOO,256GB,Mobile,12580,32,402560,123,0,434,149,89,32,50.12,12246,13371,11999,2,1,0
2024-01-03,M108,OnePlus,128GB,Mobile,11040,9,99360,128,10,91,21,14,9,42.61,12032,11987,10571,2,1,0
2024-01-03,M109,OnePlus,256GB,Mobile,12786,36,460296,90,10,1016,239,103,36,60.67,13158,12900,11892,2,1,0
2024-01-03,M110,Motorola,128GB,Mobile,14639,39,570921,97,5,741,239,182,39,54.79,13951,15235,13972,2,1,0
2024-01-03,M111,Motorola,128GB,Mobile,23865,35,835275,148,0,403,53,34,35,59.03,22941,25105,22403,2,1,0
2024-01-03,M112,Vivo,128GB,Mobile,14931,26,388206,69,10,518,199,156,26,63.36,15136,16286,15452,2,1,0
2024-01-03,M113,Vivo,64GB,Mobile,21124,34,718216,145,5,485,178,46,34,39.71,21411,20455,21713,2,1,0
2024-01-03,M114,Oppo,128GB,Mobile,24794,15,371910,61,0,252,82,65,15,22.78,25031,26265,24884,2,1,0
2024-01-03,M115,Oppo,128GB,Mobile,11493,15,172395,32,5,393,45,28,15,78.64,11913,12195,11455,2,1,0
2024-01-03,M116,Poco,256GB,Mobile,29282,3,87846,30,0,56,14,2,3,46.78,31869,27463,30390,2,1,0
2024-01-03,M117,Poco,128GB,Mobile,11929,3,35787,38,0,33,6,1,3,50.79,12231,11208,11861,2,1,0
2024-01-03,M118,Infinix,128GB,Mobile,20827,16,333232,95,0,436,51,26,16,58.44,22827,21630,19580,2,1,0
2024-01-03,M119,Tecno,64GB,Mobile,17212,14,240968,92,10,173,46,14,14,44.13,17626,17960,18285,2,1,0
2024-01-04,M100,Samsung,64GB,Mobile,27669,37,1023753,122,0,911,175,111,37,76.75,28576,27580,29824,3,1,0
2024-01-04,M101,Samsung,128GB,Mobile,27436,31,850516,61,5,873,176,118,31,72.21,27940,27061,27186,3,1,0
2024-01-04,M102,Redmi,128GB,Mobile,23338,7,163366,42,0,145,33,22,7,39.57,24404,23667,23602,3,1,0
2024-01-04,M103,Redmi,64GB,Mobile,22917,27,618759,84,5,300,114,24,27,47.46,23353,21335,22756,3,1,0
2024-01-04,M104,Realme,128GB,Mobile,22772,7,159404,36,10,202,52,31,7,77.08,22899,21359,24435,3,1,0
2024-01-04,M105,Realme,64GB,Mobile,11386,22,250492,123,5,314,113,81,22,57.88,12518,11744,10575,3,1,0
2024-01-04,M106,iQOO,128GB,Mobile,13580,13,176540,54,0,175,21,10,13,52.39,14933,14567,12904,3,1,0
2024-01-04,M107,iQOO,256GB,Mobile,26194,28,733432,47,5,713,222,72,28,63.15,27864,24857,25948,3,1,0
2024-01-04,M108,OnePlus,128GB,Mobile,15211,16,243376,89,5,357,49,14,16,67.99,15023,14591,16417,3,1,0
2024-01-04,M109,OnePlus,256GB,Mobile,11846,36,426456,133,5,775,177,51,36,20.93,12103,12933,12331,3,1,0
2024-01-04,M110,Motorola,128GB,Mobile,13208,35,462280,113,0,383,105,38,35,70.44,14457,12892,12816,3,1,0
2024-01-04,M111,Motorola,128GB,Mobile,10483,16,167728,148,0,282,107,36,16,47.38,11518,11412,11235,3,1,0
2024-01-04,M112,Vivo,128GB,Mobile,14676,31,454956,92,5,489,155,55,31,60.35,15169,15877,14284,3,1,0
2024-01-04,M113,Vivo,64GB,Mobile,16153,4,64612,145,5,73,15,7,4,33.1,16422,17317,17362,3,1,0
2024-01-04,M114,Oppo,128GB,Mobile,14624,13,190112,30,5,325,112,45,13,58.52,14881,13245,14521,3,1,0
2024-01-04,M115,Oppo,128GB,Mobile,17755,28,497140,66,5,622,195,126,28,69.28,18606,19788,18055,3,1,0
2024-01-04,M116,Poco,256GB,Mobile,25389,32,812448,121,10,816,311,63,32,24.87,27267,23503,23752,3,1,0
2024-01-04,M117,Poco,128GB,Mobile,15072,14,211008,67,0,145,32,10,14,37.9,16235,16554,14584,3,1,0
2024-01-04,M118,Infinix,128GB,Mobile,10724,35,375340,124,10,1023,293,113,35,44.47,10579,10115,10552,3,1,0
2024-01-04,M119,Tecno,64GB,Mobile,10797,4,43188,70,10,42,13,3,4,76.33,10736,10545,11639,3,1,0
2024-01-05,M100,Samsung,64GB,Mobile,10478,33,345774,91,10,489,105,79,33,41.85,11298,11645,10050,4,1,0
2024-01-05,M101,Samsung,128GB,Mobile,27403,33,904299,37,0,339,56,28,33,54.19,28887,29110,28387,4,1,0
2024-01-05,M102,Redmi,128GB,Mobile,12625,5,63125,38,0,101,36,8,5,35.0,12324,13397,11681,4,1,0
2024-01-05,M103,Redmi,64GB,Mobile,16821,37,622377,45,5,755,241,162,37,20.05,16384,18646,17354,4,1,0
2024-01-05,M104,Realme,128GB,Mobile,16260,3,48780,106,10,88,32,15,3,34.54,16547,17385,16509,4,1,0
2024-01-05,M105,Realme,64GB,Mobile,12051,38,457938,114,5,705,104,59,38,22.52,11976,12406,12254,4,1,0
2024-01-05,M106,iQOO,128GB,Mobile,25668,17,436356,70,10,351,63,39,17,35.35,27653,27409,26721,4,1,0
2024-01-05,M107,iQOO,256GB,Mobile,15023,21,315483,121,10,595,79,59,21,51.97,15333,14289,15510,4,1,0
2024-01-05,M108,OnePlus,128GB,Mobile,16929,9,152361,80,5,202,70,37,9,66.73,17301,16578,17018,4,1,0
2024-01-05,M109,OnePlus,256GB,Mobile,18838,5,94190,70,5,85,29,5,5,78.25,19946,18486,17922,4,1,0
2024-01-05,M110,Motorola,128GB,Mobile,9789,37,362193,109,5,779,288,126,37,70.42,9359,10746,10261,4,1,0
2024-01-05,M111,Motorola,128GB,Mobile,13276,14,185864,98,0,401,109,39,14,27.13,13043,12843,13038,4,1,0
2024-01-05,M112,Vivo,128GB,Mobile,25247,23,580681,46,5,677,250,195,23,47.11,27447,23794,24827,4,1,0
2024-01-05,M113,Vivo,64GB,Mobile,12254,19,232826,77,0,445,107,68,19,36.59,12506,12404,12619,4,1,0
2024-01-05,M114,Oppo,128GB,Mobile,14410,35,504350,136,5,759,180,55,35,79.94,15814,13699,14411,4,1,0
2024-01-05,M115,Oppo,128GB,Mobile,17920,34,609280,133,10,470,106,75,34,22.31,17656,18622,18873,4,1,0
2024-01-05,M116,Poco,256GB,Mobile,9230,36,332280,134,10,772,283,174,36,56.26,10129,8940,8948,4,1,0
2024-01-05,M117,Poco,128GB,Mobile,17829,9,160461,43,10,249,91,44,9,37.02,18487,19483,16489,4,1,0
2024-01-05,M118,Infinix,128GB,Mobile,18666,7,130662,143,0,88,12,7,7,54.89,18863,20719,19417,4,1,0
2024-01-05,M119,Tecno,64GB,Mobile,28128,19,534432,64,0,480,172,119,19,74.3,30029,30633,29304,4,1,0
2024-01-06,M100,Samsung,64GB,Mobile,29819,22,656018,121,0,289,34,14,22,31.16,30853,30994,29232,5,1,1
2024-01-06,M101,Samsung,128GB,Mobile,15003,17,255051,111,10,438,142,51,17,29.95,15849,13578,14140,5,1,1
2024-01-06,M102,Redmi,128GB,Mobile,25232,4,100928,62,5,92,27,9,4,20.66,27725,24343,25700,5,1,1
2024-01-06,M103,Redmi,64GB,Mobile,11721,18,210978,84,10,393,89,21,18,77.99,12653,12499,10951,5,1,1
2024-01-06,M104,Realme,128GB,Mobile,11444,9,102996,72,0,235,75,26,9,31.35,12295,10970,11009,5,1,1
2024-01-06,M105,Realme,64GB,Mobile,18583,29,538907,124,0,643,160,110,29,79.12,18246,19836,18971,5,1,1
2024-01-06,M106,iQOO,128GB,Mobile,25269,36,909684,84,10,975,176,110,36,74.89,24195,26089,25201,5,1,1
2024-01-06,M107,iQOO,256GB,Mobile,10316,10,103160,39,0,254,95,34,10,32.92,11192,9420,10446,5,1,1
2024-01-06,M108,OnePlus,128GB,Mobile,27877,24,669048,136,0,624,203,134,24,48.65,27348,28033,29548,5,1,1
2024-01-06,M109,OnePlus,256GB,Mobile,26178,28,732984,48,10,689,210,107,28,47.84,25239,28922,24986,5,1,1
2024-01-06,M110,Motorola,128GB,Mobile,14176,24,340224,69,0,493,164,110,24,31.24,13788,14604,14187,5,1,1
2024-01-06,M111,Motorola,128GB,Mobile,10741,16,171856,56,5,382,39,16,16,27.29,11150,11606,10905,5,1,1
2024-01-06,M112,Vivo,128GB,Mobile,12699,36,457164,129,5,620,196,61,36,22.93,13652,11543,12432,5,1,1
2024-01-06,M113,Vivo,64GB,Mobile,20984,10,209840,125,10,164,54,25,10,25.74,19942,21962,21925,5,1,1
2024-01-06,M114,Oppo,128GB,Mobile,17757,12,213084,132,0,171,55,44,12,64.76,19470,18409,19007,5,1,1
2024-01-06,M115,Oppo,128GB,Mobile,23510,22,517220,52,0,611,214,63,22,29.29,24062,23361,23263,5,1,1
2024-01-06,M116,Poco,256GB,Mobile,21141,16,338256,140,10,224,73,14,16,21.76,23215,19310,21574,5,1,1
2024-01-06,M117,Poco,128GB,Mobile,18742,7,131194,130,0,87,17,7,7,22.98,18896,17009,17954,5,1,1
2024-01-06,M118,Infinix,128GB,Mobile,22535,31,698585,139,0,787,180,54,31,70.4,22457,25075,20843,5,1,1
2024-01-06,M119,Tecno,64GB,Mobile,17288,30,518640,134,0,368,137,66,30,64.47,18665,16801,18623,5,1,1
2024-01-07,M100,Samsung,64GB,Mobile,20384,15,305760,135,5,266,30,15,15,63.87,20190,20229,18808,6,1,1
2024-01-07,M101,Samsung,128GB,Mobile,17304,13,224952,114,0,166,29,14,13,27.09,18525,18500,16247,6,1,1
2024-01-07,M102,Redmi,128GB,Mobile,21903,5,109515,65,5,76,23,16,5,54.49,23663,21034,23366,6,1,1
2024-01-07,M103,Redmi,64GB,Mobile,18188,33,600204,112,5,659,103,77,33,58.13,18414,20033,18169,6,1,1
2024-01-07,M104,Realme,128GB,Mobile,20786,35,727510,137,10,906,330,99,35,21.99,20357,19175,22057,6,1,1
2024-01-07,M105,Realme,64GB,Mobile,20851,17,354467,44,0,483,186,92,17,58.67,20182,23287,20070,6,1,1
2024-01-07,M106,iQOO,128GB,Mobile,14265,3,42795,63,10,83,29,17,3,37.83,14262,14819,14620,6,1,1
2024-01-07,M107,iQOO,256GB,Mobile,12196,23,280508,85,10,610,231,80,23,37.81,12726,12527,12700,6,1,1
2024-01-07,M108,OnePlus,128GB,Mobile,19264,33,635712,107,5,341,76,54,33,78.18,19670,20454,18055,6,1,1
2024-01-07,M109,OnePlus,256GB,Mobile,13099,37,484663,145,5,1034,180,43,37,51.12,13188,14645,13906,6,1,1
2024-01-07,M110,Motorola,128GB,Mobile,15416,28,431648,35,5,519,137,56,28,21.86,16493,14034,16314,6,1,1
2024-01-07,M111,Motorola,128GB,Mobile,9049,35,316715,148,10,846,338,176,35,45.69,8915,8726,9034,6,1,1
2024-01-07,M112,Vivo,128GB,Mobile,15633,5,78165,85,5,63,25,13,5,53.52,15827,17351,15805,6,1,1
2024-01-07,M113,Vivo,64GB,Mobile,18737,8,149896,70,10,238,74,22,8,74.92,17850,20329,18343,6,1,1
2024-01-07,M114,Oppo,128GB,Mobile,17856,27,482112,69,10,304,113,69,27,44.14,18500,18199,17010,6,1,1
2024-01-07,M115,Oppo,128GB,Mobile,19653,19,373407,119,5,257,25,7,19,48.43,19843,21583,21194,6,1,1
2024-01-07,M116,Poco,256GB,Mobile,28166,27,760482,54,0,643,126,25,27,46.91,30517,31465,27807,6,1,1
2024-01-07,M117,Poco,128GB,Mobile,20180,12,242160,125,10,224,74,20,12,76.19,20744,18638,18830,6,1,1
2024-01-07,M118,Infinix,128GB,Mobile,27215,36,979740,81,5,800,226,130,36,78.69,29503,29428,25981,6,1,1
2024-01-07,M119,Tecno,64GB,Mobile,9512,14,133168,66,5,218,58,11,14,38.58,10094,8598,9336,6,1,1
2024-01-08,M100,Samsung,64GB,Mobile,21677,21,455217,107,10,617,139,89,21,35.46,21276,20937,22133,0,1,0
2024-01-08,M101,Samsung,128GB,Mobile,23974,14,335636,86,5,223,62,26,14,77.86,26310,25032,25488,0,1,0
2024-01-08,M102,Redmi,128GB,Mobile,25412,11,279532,131,5,278,51,25,11,59.63,26020,23575,23391,0,1,0
2024-01-08,M103,Redmi,64GB,Mobile,12139,40,485560,95,5,723,289,160,40,25.82,12594,11014,11394,0,1,0
2024-01-08,M104,Realme,128GB,Mobile,20983,16,335728,134,0,186,49,24,16,49.75,20552,19814,21421,0,1,0
2024-01-08,M105,Realme,64GB,Mobile,20171,13,262223,133,0,216,30,21,13,79.43,22111,18282,19268,0,1,0
2024-01-08,M106,iQOO,128GB,Mobile,14828,16,237248,35,0,339,40,15,16,45.14,15853,14467,14666,0,1,0
2024-01-08,M107,iQOO,256GB,Mobile,23012,5,115060,138,10,146,50,34,5,59.79,22457,22271,24811,0,1,0
2024-01-08,M108,OnePlus,128GB,Mobile,23676,37,876012,143,5,416,59,32,37,70.0,24483,25173,23909,0,1,0
2024-01-08,M109,OnePlus,256GB,Mobile,14733,25,368325,119,10,631,212,60,25,55.45,16131,15918,14826,0,1,0
2024-01-08,M110,Motorola,128GB,Mobile,24889,10,248890,61,5,232,84,28,10,32.6,26870,24045,25271,0,1,0
2024-01-08,M111,Motorola,128GB,Mobile,10181,28,285068,129,0,321,56,30,28,63.91,9737,10085,10264,0,1,0
2024-01-08,M112,Vivo,128GB,Mobile,17170,34,583780,132,0,640,143,63,34,70.8,18116,16671,18492,0,1,0
2024-01-08,M113,Vivo,64GB,Mobile,25222,16,403552,101,0,306,100,58,16,20.01,24328,24944,26159,0,1,0
2024-01-08,M114,Oppo,128GB,Mobile,13277,30,398310,47,5,577,183,91,30,21.54,12937,12775,14006,0,1,0
2024-01-08,M115,Oppo,128GB,Mobile,24663,21,517923,106,10,593,195,92,21,71.96,26730,25661,24467,0,1,0
2024-01-08,M116,Poco,256GB,Mobile,22051,33,727683,134,10,560,136,35,33,75.38,23570,24471,21307,0,1,0
2024-01-08,M117,Poco,128GB,Mobile,21584,11,237424,87,10,111,41,21,11,39.28,20765,22465,20564,0,1,0
2024-01-08,M118,Infinix,128GB,Mobile,24276,16,388416,63,5,471,65,43,16,57.79,23786,22372,22339,0,1,0
2024-01-08,M119,Tecno,64GB,Mobile,17177,16,274832,92,10,445,135,38,16,49.0,17640,18392,16005,0,1,0
2024-01-09,M100,Samsung,64GB,Mobile,18048,19,342912,39,5,312,115,44,19,71.83,18218,19297,18041,1,1,0
2024-01-09,M101,Samsung,128GB,Mobile,16798,21,352758,72,5,513,139,37,21,36.08,17689,17425,17276,1,1,0
2024-01-09,M102,Redmi,128GB,Mobile,27699,10,276990,47,0,198,31,14,10,22.22,27810,25370,27731,1,1,0
2024-01-09,M103,Redmi,64GB,Mobile,16698,10,166980,118,5,118,46,34,10,41.24,17948,17513,17634,1,1,0
2024-01-09,M104,Realme,128GB,Mobile,17010,27,459270,83,0,271,71,36,27,52.68,17125,18584,15765,1,1,0
2024-01-09,M105,Realme,64GB,Mobile,18757,27,506439,89,10,350,128,37,27,39.26,19774,17661,18038,1,1,0
2024-01-09,M106,iQOO,128GB,Mobile,12040,27,325080,136,0,732,139,61,27,63.1,12503,10922,12604,1,1,0
2024-01-09,M107,iQOO,256GB,Mobile,20485,2,40970,119,10,59,17,13,2,41.94,21540,20829,22081,1,1,0
2024-01-09,M108,OnePlus,128GB,Mobile,27420,1,27420,91,5,29,3,1,1,22.81,27392,30177,27594,1,1,0
2024-01-09,M109,OnePlus,256GB,Mobile,20449,25,511225,126,5,501,171,34,25,23.03,21372,20581,21400,1,1,0
2024-01-09,M110,Motorola,128GB,Mobile,21357,35,747495,125,10,361,111,53,35,73.54,22239,23068,21508,1,1,0
2024-01-09,M111,Motorola,128GB,Mobile,29767,15,446505,92,0,156,60,31,15,39.14,29134,26945,29539,1,1,0
2024-01-09,M112,Vivo,128GB,Mobile,17995,2,35990,92,5,39,4,2,2,79.08,17651,16522,16704,1,1,0
2024-01-09,M113,Vivo,64GB,Mobile,21604,26,561704,115,5,514,205,159,26,67.31,23657,23198,21291,1,1,0
2024-01-09,M114,Oppo,128GB,Mobile,14637,9,131733,147,5,229,41,13,9,24.89,15315,14158,14296,1,1,0
2024-01-09,M115,Oppo,128GB,Mobile,27502,26,715052,146,0,284,54,34,26,43.62,28981,27516,27592,1,1,0
2024-01-09,M116,Poco,256GB,Mobile,26455,2,52910,114,10,30,3,0,2,50.82,28891,24261,25138,1,1,0
2024-01-09,M117,Poco,128GB,Mobile,11475,9,103275,84,10,229,73,57,9,76.91,12579,12152,11197,1,1,0
2024-01-09,M118,Infinix,128GB,Mobile,25128,17,427176,36,0,491,54,38,17,52.05,26336,27724,23175,1,1,0
2024-01-09,M119,Tecno,64GB,Mobile,21300,30,639000,57,5,312,50,22,30,39.3,20418,19506,19940,1,1,0
2024-01-10,M100,Samsung,64GB,Mobile,19674,25,491850,127,5,561,142,39,25,78.25,20786,20777,18336,2,1,0
2024-01-10,M101,Samsung,128GB,Mobile,18161,6,108966,62,5,108,28,18,6,62.56,19646,16354,19521,2,1,0
2024-01-10,M102,Redmi,128GB,Mobile,25411,35,889385,125,0,561,108,51,35,40.55,26102,24870,26338,2,1,0
2024-01-10,M103,Redmi,64GB,Mobile,11120,5,55600,58,5,103,18,6,5,23.33,10746,12088,11948,2,1,0
2024-01-10,M104,Realme,128GB,Mobile,11319,13,147147,61,0,227,81,35,13,35.82,10982,10665,10867,2,1,0
2024-01-10,M105,Realme,64GB,Mobile,9600,16,153600,49,10,170,49,38,16,50.43,10452,8657,9945,2,1,0
2024-01-10,M106,iQOO,128GB,Mobile,13429,8,107432,115,5,93,33,19,8,49.24,13330,13047,13038,2,1,0
2024-01-10,M107,iQOO,256GB,Mobile,28480,17,484160,89,0,428,165,38,17,55.79,30832,30016,27956,2,1,0
2024-01-10,M108,OnePlus,128GB,Mobile,22087,39,861393,107,0,432,73,52,39,61.96,22053,21633,20596,2,1,0
2024-01-10,M109,OnePlus,256GB,Mobile,13753,7,96271,69,0,93,26,14,7,71.94,13620,15212,14112,2,1,0
2024-01-10,M110,Motorola,128GB,Mobile,28962,20,579240,148,0,240,35,13,20,60.84,30626,30477,30044,2,1,0
2024-01-10,M111,Motorola,128GB,Mobile,25980,25,649500,146,10,716,108,70,25,42.71,26878,25928,24162,2,1,0
2024-01-10,M112,Vivo,128GB,Mobile,20697,5,103485,55,10,62,16,11,5,36.54,22271,21414,21231,2,1,0
2024-01-10,M113,Vivo,64GB,Mobile,26460,16,423360,136,10,333,104,26,16,40.57,25617,24661,25425,2,1,0
2024-01-10,M114,Oppo,128GB,Mobile,12005,20,240100,128,10,404,70,25,20,59.49,12298,11943,11257,2,1,0
2024-01-10,M115,Oppo,128GB,Mobile,29674,37,1097938,131,0,484,151,34,37,37.72,32128,28716,31903,2,1,0
2024-01-10,M116,Poco,256GB,Mobile,10777,28,301756,98,5,745,278,95,28,28.8,10492,11477,9979,2,1,0
2024-01-10,M117,Poco,128GB,Mobile,22142,22,487124,94,0,380,66,51,22,74.3,22384,21597,23052,2,1,0
2024-01-10,M118,Infinix,128GB,Mobile,9893,32,316576,135,5,327,92,48,32,77.12,10780,9798,9222,2,1,0
2024-01-10,M119,Tecno,64GB,Mobile,12785,30,383550,76,5,672,249,120,30,37.78,12382,13806,12606,2,1,0
2024-01-11,M100,Samsung,64GB,Mobile,14262,34,484908,52,5,398,149,97,34,60.73,15077,13772,13321,3,1,0
2024-01-11,M101,Samsung,128GB,Mobile,16965,35,593775,133,10,1045,174,115,35,73.72,17904,17646,15612,3,1,0
2024-01-11,M102,Redmi,128GB,Mobile,24550,38,932900,85,5,461,159,127,38,23.81,23559,25927,23447,3,1,0
2024-01-11,M103,Redmi,64GB,Mobile,17854,16,285664,139,5,359,130,35,16,69.37,18825,16550,17724,3,1,0
2024-01-11,M104,Realme,128GB,Mobile,12197,29,353713,142,5,637,249,111,29,54.59,13097,11882,11940,3,1,0
2024-01-11,M105,Realme,64GB,Mobile,17090,40,683600,102,5,831,307,185,40,68.23,18765,17826,18199,3,1,0
2024-01-11,M106,iQOO,128GB,Mobile,21297,32,681504,33,5,737,106,73,32,30.79,20828,21736,21798,3,1,0
2024-01-11,M107,iQOO,256GB,Mobile,20650,14,289100,92,0,307,119,71,14,75.37,22666,19457,20666,3,1,0
2024-01-11,M108,OnePlus,128GB,Mobile,20544,18,369792,73,5,366,65,13,18,28.27,19823,19578,19825,3,1,0
2024-01-11,M109,OnePlus,256GB,Mobile,26580,18,478440,142,10,376,46,32,18,52.08,28803,24946,26602,3,1,0
2024-01-11,M110,Motorola,128GB,Mobile,28212,13,366756,96,0,138,21,9,13,49.17,29975,27028,28675,3,1,0
2024-01-11,M111,Motorola,128GB,Mobile,12805,27,345735,122,0,729,73,27,27,74.41,12271,14289,12830,3,1,0
2024-01-11,M112,Vivo,128GB,Mobile,23408,16,374528,127,10,424,144,34,16,39.84,25734,24828,24451,3,1,0
2024-01-11,M113,Vivo,64GB,Mobile,23040,32,737280,121,10,373,87,32,32,22.49,21935,24436,22550,3,1,0
2024-01-11,M114,Oppo,128GB,Mobile,24685,19,469015,41,0,392,69,40,19,69.75,25727,27123,25591,3,1,0
2024-01-11,M115,Oppo,128GB,Mobile,16397,16,262352,118,5,349,39,11,16,63.86,16242,16650,15265,3,1,0
2024-01-11,M116,Poco,256GB,Mobile,18029,24,432696,104,10,694,233,68,24,58.82,18597,17801,17542,3,1,0
2024-01-11,M117,Poco,128GB,Mobile,22956,23,527988,97,10,449,112,23,23,57.43,23342,21565,21216,3,1,0
2024-01-11,M118,Infinix,128GB,Mobile,21547,22,474034,100,10,520,82,16,22,71.57,22091,20269,20811,3,1,0
