date,product_id,product_name,brand,storage_variant,category,price,units_sold,revenue,stock,discount
2024-01-05,M104,Narzo 60,Realme,128GB,Mobile,16260,3,48780,106,10
2024-01-05,M105,C55,Realme,64GB,Mobile,12051,38,457938,114,5
2024-01-05,M106,Z7 5G,iQOO,128GB,Mobile,25668,17,436356,70,10
2024-01-05,M107,Neo 7 Pro,iQOO,256GB,Mobile,15023,21,315483,121,10
2024-01-05,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,16929,9,152361,80,5
2024-01-05,M109,Nord 3 5G,OnePlus,256GB,Mobile,18838,5,94190,70,5
2024-01-05,M110,G73 5G,Motorola,128GB,Mobile,9789,37,362193,109,5
2024-01-05,M111,Edge 40 Neo,Motorola,128GB,Mobile,13276,14,185864,98,0
2024-01-05,M112,T2 5G,Vivo,128GB,Mobile,25247,23,580681,46,5
2024-01-05,M113,Y27,Vivo,64GB,Mobile,12254,19,232826,77,0
2024-01-05,M114,A78,Oppo,128GB,Mobile,14410,35,504350,136,5
2024-01-05,M115,Reno8 T,Oppo,128GB,Mobile,17920,34,609280,133,10
2024-01-05,M116,X5 Pro,Poco,256GB,Mobile,9230,36,332280,134,10
2024-01-05,M117,M6 Pro,Poco,128GB,Mobile,17829,9,160461,43,10
2024-01-05,M118,Zero 5G 2023,Infinix,128GB,Mobile,18666,7,130662,143,0
2024-01-05,M119,Spark 10,Tecno,64GB,Mobile,28128,19,534432,64,0
2024-01-06,M100,Galaxy M14,Samsung,64GB,Mobile,29819,22,656018,121,0
2024-01-06,M101,Galaxy A15,Samsung,128GB,Mobile,15003,17,255051,111,10
2024-01-06,M102,Note 12,Redmi,128GB,Mobile,25232,4,100928,62,5
2024-01-06,M103,12C,Redmi,64GB,Mobile,11721,18,210978,84,10
2024-01-06,M104,Narzo 60,Realme,128GB,Mobile,11444,9,102996,72,0
2024-01-06,M105,C55,Realme,64GB,Mobile,18583,29,538907,124,0
2024-01-06,M106,Z7 5G,iQOO,128GB,Mobile,25269,36,909684,84,10
2024-01-06,M107,Neo 7 Pro,iQOO,256GB,Mobile,10316,10,103160,39,0
2024-01-06,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,27877,24,669048,136,0
2024-01-06,M109,Nord 3 5G,OnePlus,256GB,Mobile,26178,28,732984,48,10
2024-01-06,M110,G73 5G,Motorola,128GB,Mobile,14176,24,340224,69,0
2024-01-06,M111,Edge 40 Neo,Motorola,128GB,Mobile,10741,16,171856,56,5
2024-01-06,M112,T2 5G,Vivo,128GB,Mobile,12699,36,457164,129,5
2024-01-06,M113,Y27,Vivo,64GB,Mobile,20984,10,209840,125,10
2024-01-06,M114,A78,Oppo,128GB,Mobile,17757,12,213084,132,0
2024-01-06,M115,Reno8 T,Oppo,128GB,Mobile,23510,22,517220,52,0
2024-01-06,M116,X5 Pro,Poco,256GB,Mobile,21141,16,338256,140,10
2024-01-06,M117,M6 Pro,Poco,128GB,Mobile,18742,7,131194,130,0
2024-01-06,M118,Zero 5G 2023,Infinix,128GB,Mobile,22535,31,698585,139,0
2024-01-06,M119,Spark 10,Tecno,64GB,Mobile,17288,30,518640,134,0
2024-01-07,M100,Galaxy M14,Samsung,64GB,Mobile,20384,15,305760,135,5
2024-01-07,M101,Galaxy A15,Samsung,128GB,Mobile,17304,13,224952,114,0
2024-01-07,M102,Note 12,Redmi,128GB,Mobile,21903,5,109515,65,5
2024-01-07,M103,12C,Redmi,64GB,Mobile,18188,33,600204,112,5
2024-01-07,M104,Narzo 60,Realme,128GB,Mobile,20786,35,727510,137,10
2024-01-07,M105,C55,Realme,64GB,Mobile,20851,17,354467,44,0
2024-01-07,M106,Z7 5G,iQOO,128GB,Mobile,14265,3,42795,63,10
2024-01-07,M107,Neo 7 Pro,iQOO,256GB,Mobile,12196,23,280508,85,10
2024-01-07,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,19264,33,635712,107,5
2024-01-07,M109,Nord 3 5G,OnePlus,256GB,Mobile,13099,37,484663,145,5
2024-01-07,M110,G73 5G,Motorola,128GB,Mobile,15416,28,431648,35,5
2024-01-07,M111,Edge 40 Neo,Motorola,128GB,Mobile,9049,35,316715,148,10
2024-01-07,M112,T2 5G,Vivo,128GB,Mobile,15633,5,78165,85,5
2024-01-07,M113,Y27,Vivo,64GB,Mobile,18737,8,149896,70,10
2024-01-07,M114,A78,Oppo,128GB,Mobile,17856,27,482112,69,10
2024-01-07,M115,Reno8 T,Oppo,128GB,Mobile,19653,19,373407,119,5
2024-01-07,M116,X5 Pro,Poco,256GB,Mobile,28166,27,760482,54,0
2024-01-07,M117,M6 Pro,Poco,128GB,Mobile,20180,12,242160,125,10
2024-01-07,M118,Zero 5G 2023,Infinix,128GB,Mobile,27215,36,979740,81,5
2024-01-07,M119,Spark 10,Tecno,64GB,Mobile,9512,14,133168,66,5
2024-01-08,M100,Galaxy M14,Samsung,64GB,Mobile,21677,21,455217,107,10
2024-01-08,M101,Galaxy A15,Samsung,128GB,Mobile,23974,14,335636,86,5
2024-01-08,M102,Note 12,Redmi,128GB,Mobile,25412,11,279532,131,5
2024-01-08,M103,12C,Redmi,64GB,Mobile,12139,40,485560,95,5
2024-01-08,M104,Narzo 60,Realme,128GB,Mobile,20983,16,335728,134,0
2024-01-08,M105,C55,Realme,64GB,Mobile,20171,13,262223,133,0
2024-01-08,M106,Z7 5G,iQOO,128GB,Mobile,14828,16,237248,35,0
2024-01-08,M107,Neo 7 Pro,iQOO,256GB,Mobile,23012,5,115060,138,10
2024-01-08,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,23676,37,876012,143,5
2024-01-08,M109,Nord 3 5G,OnePlus,256GB,Mobile,14733,25,368325,119,10
2024-01-08,M110,G73 5G,Motorola,128GB,Mobile,24889,10,248890,61,5
2024-01-08,M111,Edge 40 Neo,Motorola,128GB,Mobile,10181,28,285068,129,0
2024-01-08,M112,T2 5G,Vivo,128GB,Mobile,17170,34,583780,132,0
2024-01-08,M113,Y27,Vivo,64GB,Mobile,25222,16,403552,101,0
2024-01-08,M114,A78,Oppo,128GB,Mobile,13277,30,398310,47,5
2024-01-08,M115,Reno8 T,Oppo,128GB,Mobile,24663,21,517923,106,10
2024-01-08,M116,X5 Pro,Poco,256GB,Mobile,22051,33,727683,134,10
2024-01-08,M117,M6 Pro,Poco,128GB,Mobile,21584,11,237424,87,10
2024-01-08,M118,Zero 5G 2023,Infinix,128GB,Mobile,24276,16,388416,63,5
2024-01-08,M119,Spark 10,Tecno,64GB,Mobile,17177,16,274832,92,10
2024-01-09,M100,Galaxy M14,Samsung,64GB,Mobile,18048,19,342912,39,5
2024-01-09,M101,Galaxy A15,Samsung,128GB,Mobile,16798,21,352758,72,5
2024-01-09,M102,Note 12,Redmi,128GB,Mobile,27699,10,276990,47,0
2024-01-09,M103,12C,Redmi,64GB,Mobile,16698,10,166980,118,5
2024-01-09,M104,Narzo 60,Realme,128GB,Mobile,17010,27,459270,83,0
2024-01-09,M105,C55,Realme,64GB,Mobile,18757,27,506439,89,10
2024-01-09,M106,Z7 5G,iQOO,128GB,Mobile,12040,27,325080,136,0
2024-01-09,M107,Neo 7 Pro,iQOO,256GB,Mobile,20485,2,40970,119,10
2024-01-09,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,27420,1,27420,91,5
2024-01-09,M109,Nord 3 5G,OnePlus,256GB,Mobile,20449,25,511225,126,5
2024-01-09,M110,G73 5G,Motorola,128GB,Mobile,21357,35,747495,125,10
2024-01-09,M111,Edge 40 Neo,Motorola,128GB,Mobile,29767,15,446505,92,0
2024-01-09,M112,T2 5G,Vivo,128GB,Mobile,17995,2,35990,92,5
2024-01-09,M113,Y27,Vivo,64GB,Mobile,21604,26,561704,115,5
2024-01-09,M114,A78,Oppo,128GB,Mobile,14637,9,131733,147,5
2024-01-09,M115,Reno8 T,Oppo,128GB,Mobile,27502,26,715052,146,0
2024-01-09,M116,X5 Pro,Poco,256GB,Mobile,26455,2,52910,114,10
2024-01-09,M117,M6 Pro,Poco,128GB,Mobile,11475,9,103275,84,10
2024-01-09,M118,Zero 5G 2023,Infinix,128GB,Mobile,25128,17,427176,36,0
2024-01-09,M119,Spark 10,Tecno,64GB,Mobile,21300,30,639000,57,5
2024-01-10,M100,Galaxy M14,Samsung,64GB,Mobile,19674,25,491850,127,5
2024-01-10,M101,Galaxy A15,Samsung,128GB,Mobile,18161,6,108966,62,5
2024-01-10,M102,Note 12,Redmi,128GB,Mobile,25411,35,889385,125,0
2024-01-10,M103,12C,Redmi,64GB,Mobile,11120,5,55600,58,5
2024-01-10,M104,Narzo 60,Realme,128GB,Mobile,11319,13,147147,61,0
2024-01-10,M105,C55,Realme,64GB,Mobile,9600,16,153600,49,10
2024-01-10,M106,Z7 5G,iQOO,128GB,Mobile,13429,8,107432,115,5
2024-01-10,M107,Neo 7 Pro,iQOO,256GB,Mobile,28480,17,484160,89,0
2024-01-10,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,22087,39,861393,107,0
2024-01-10,M109,Nord 3 5G,OnePlus,256GB,Mobile,13753,7,96271,69,0
2024-01-10,M110,G73 5G,Motorola,128GB,Mobile,28962,20,579240,148,0
2024-01-10,M111,Edge 40 Neo,Motorola,128GB,Mobile,25980,25,649500,146,10
2024-01-10,M112,T2 5G,Vivo,128GB,Mobile,20697,5,103485,55,10
2024-01-10,M113,Y27,Vivo,64GB,Mobile,26460,16,423360,136,10
2024-01-10,M114,A78,Oppo,128GB,Mobile,12005,20,240100,128,10
2024-01-10,M115,Reno8 T,Oppo,128GB,Mobile,29674,37,1097938,131,0
2024-01-10,M116,X5 Pro,Poco,256GB,Mobile,10777,28,301756,98,5
2024-01-10,M117,M6 Pro,Poco,128GB,Mobile,22142,22,487124,94,0
2024-01-10,M118,Zero 5G 2023,Infinix,128GB,Mobile,9893,32,316576,135,5
2024-01-10,M119,Spark 10,Tecno,64GB,Mobile,12785,30,383550,76,5
2024-01-11,M100,Galaxy M14,Samsung,64GB,Mobile,14262,34,484908,52,5
2024-01-11,M101,Galaxy A15,Samsung,128GB,Mobile,16965,35,593775,133,10
2024-01-11,M102,Note 12,Redmi,128GB,Mobile,24550,38,932900,85,5
2024-01-11,M103,12C,Redmi,64GB,Mobile,17854,16,285664,139,5
2024-01-11,M104,Narzo 60,Realme,128GB,Mobile,12197,29,353713,142,5
2024-01-11,M105,C55,Realme,64GB,Mobile,17090,40,683600,102,5
2024-01-11,M106,Z7 5G,iQOO,128GB,Mobile,21297,32,681504,33,5
2024-01-11,M107,Neo 7 Pro,iQOO,256GB,Mobile,20650,14,289100,92,0
2024-01-11,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,20544,18,369792,73,5
2024-01-11,M109,Nord 3 5G,OnePlus,256GB,Mobile,26580,18,478440,142,10
2024-01-11,M110,G73 5G,Motorola,128GB,Mobile,28212,13,366756,96,0
2024-01-11,M111,Edge 40 Neo,Motorola,128GB,Mobile,12805,27,345735,122,0
2024-01-11,M112,T2 5G,Vivo,128GB,Mobile,23408,16,374528,127,10
2024-01-11,M113,Y27,Vivo,64GB,Mobile,23040,32,737280,121,10
2024-01-11,M114,A78,Oppo,128GB,Mobile,24685,19,469015,41,0
2024-01-11,M115,Reno8 T,Oppo,128GB,Mobile,16397,16,262352,118,5
2024-01-11,M116,X5 Pro,Poco,256GB,Mobile,18029,24,432696,104,10
2024-01-11,M117,M6 Pro,Poco,128GB,Mobile,22956,23,527988,97,10
2024-01-11,M118,Zero 5G 2023,Infinix,128GB,Mobile,21547,22,474034,100,10
2024-01-11,M119,Spark 10,Tecno,64GB,Mobile,19375,18,348750,88,10
2024-01-12,M100,Galaxy M14,Samsung,64GB,Mobile,19044,8,152352,59,5
2024-01-12,M101,Galaxy A15,Samsung,128GB,Mobile,15494,35,542290,45,5
2024-01-12,M102,Note 12,Redmi,128GB,Mobile,16066,31,498046,57,0
2024-01-12,M103,12C,Redmi,64GB,Mobile,17154,34,583236,105,10
2024-01-12,M104,Narzo 60,Realme,128GB,Mobile,28077,13,365001,42,5
2024-01-12,M105,C55,Realme,64GB,Mobile,19707,12,236484,76,0
2024-01-12,M106,Z7 5G,iQOO,128GB,Mobile,19904,35,696640,120,0
2024-01-12,M107,Neo 7 Pro,iQOO,256GB,Mobile,13439,4,53756,35,5
2024-01-12,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,26725,9,240525,119,5
2024-01-12,M109,Nord 3 5G,OnePlus,256GB,Mobile,26085,1,26085,141,0
2024-01-12,M110,G73 5G,Motorola,128GB,Mobile,27369,31,848439,90,5
2024-01-12,M111,Edge 40 Neo,Motorola,128GB,Mobile,23211,4,92844,53,5
2024-01-12,M112,T2 5G,Vivo,128GB,Mobile,17359,5,86795,44,5
2024-01-12,M113,Y27,Vivo,64GB,Mobile,21973,37,813001,39,5
2024-01-12,M114,A78,Oppo,128GB,Mobile,11756,37,434972,49,0
2024-01-12,M115,Reno8 T,Oppo,128GB,Mobile,19956,8,159648,61,0
2024-01-12,M116,X5 Pro,Poco,256GB,Mobile,26871,39,1047969,107,5
2024-01-12,M117,M6 Pro,Poco,128GB,Mobile,15655,29,453995,78,10
2024-01-12,M118,Zero 5G 2023,Infinix,128GB,Mobile,23281,38,884678,140,5
2024-01-12,M119,Spark 10,Tecno,64GB,Mobile,22848,40,913920,102,5
2024-01-13,M100,Galaxy M14,Samsung,64GB,Mobile,10775,7,75425,124,10
2024-01-13,M101,Galaxy A15,Samsung,128GB,Mobile,15127,17,257159,57,10
2024-01-13,M102,Note 12,Redmi,128GB,Mobile,12660,12,151920,60,0
2024-01-13,M103,12C,Redmi,64GB,Mobile,28087,1,28087,50,0
2024-01-13,M104,Narzo 60,Realme,128GB,Mobile,22216,39,866424,118,5
2024-01-13,M105,C55,Realme,64GB,Mobile,24128,15,361920,34,5
2024-01-13,M106,Z7 5G,iQOO,128GB,Mobile,17496,30,524880,66,10
2024-01-13,M107,Neo 7 Pro,iQOO,256GB,Mobile,11098,17,188666,59,10
2024-01-13,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,26393,13,343109,132,10
2024-01-13,M109,Nord 3 5G,OnePlus,256GB,Mobile,23930,15,358950,99,0
2024-01-13,M110,G73 5G,Motorola,128GB,Mobile,14137,10,141370,135,5
2024-01-13,M111,Edge 40 Neo,Motorola,128GB,Mobile,12339,20,246780,51,0
2024-01-13,M112,T2 5G,Vivo,128GB,Mobile,26548,37,982276,135,10
2024-01-13,M113,Y27,Vivo,64GB,Mobile,18484,30,554520,45,5
2024-01-13,M114,A78,Oppo,128GB,Mobile,17967,18,323406,81,10
2024-01-13,M115,Reno8 T,Oppo,128GB,Mobile,23759,29,689011,93,10
2024-01-13,M116,X5 Pro,Poco,256GB,Mobile,11371,28,318388,35,10
2024-01-13,M117,M6 Pro,Poco,128GB,Mobile,18504,2,37008,62,10
2024-01-13,M118,Zero 5G 2023,Infinix,128GB,Mobile,12992,37,480704,116,0
2024-01-13,M119,Spark 10,Tecno,64GB,Mobile,29238,18,526284,127,0
2024-01-14,M100,Galaxy M14,Samsung,64GB,Mobile,28882,12,346584,127,0
2024-01-14,M101,Galaxy A15,Samsung,128GB,Mobile,22875,29,663375,113,10
2024-01-14,M102,Note 12,Redmi,128GB,Mobile,19114,28,535192,104,0
2024-01-14,M103,12C,Redmi,64GB,Mobile,26112,23,600576,90,0
2024-01-14,M104,Narzo 60,Realme,128GB,Mobile,22211,7,155477,71,5
2024-01-14,M105,C55,Realme,64GB,Mobile,14505,32,464160,82,5
2024-01-14,M106,Z7 5G,iQOO,128GB,Mobile,17499,26,454974,150,10
2024-01-14,M107,Neo 7 Pro,iQOO,256GB,Mobile,28025,6,168150,88,0
2024-01-14,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,19290,8,154320,71,5
2024-01-14,M109,Nord 3 5G,OnePlus,256GB,Mobile,20919,1,20919,135,10
2024-01-14,M110,G73 5G,Motorola,128GB,Mobile,26390,4,105560,82,5
2024-01-14,M111,Edge 40 Neo,Motorola,128GB,Mobile,14531,40,581240,76,10
2024-01-14,M112,T2 5G,Vivo,128GB,Mobile,23700,4,94800,86,10
2024-01-14,M113,Y27,Vivo,64GB,Mobile,15836,9,142524,100,5
2024-01-14,M114,A78,Oppo,128GB,Mobile,18466,32,590912,142,5
2024-01-14,M115,Reno8 T,Oppo,128GB,Mobile,13978,39,545142,110,0
2024-01-14,M116,X5 Pro,Poco,256GB,Mobile,16056,20,321120,50,10
2024-01-14,M117,M6 Pro,Poco,128GB,Mobile,28049,27,757323,100,0
2024-01-14,M118,Zero 5G 2023,Infinix,128GB,Mobile,13054,8,104432,137,0
2024-01-14,M119,Spark 10,Tecno,64GB,Mobile,25120,10,251200,112,0
2024-01-15,M100,Galaxy M14,Samsung,64GB,Mobile,18431,42,774102,67,30
2024-01-15,M101,Galaxy A15,Samsung,128GB,Mobile,15167,40,606680,136,20
2024-01-15,M102,Note 12,Redmi,128GB,Mobile,22925,45,1031625,88,10
2024-01-15,M103,12C,Redmi,64GB,Mobile,11791,48,565968,54,20
2024-01-15,M104,Narzo 60,Realme,128GB,Mobile,18657,18,335826,142,30
2024-01-15,M105,C55,Realme,64GB,Mobile,9829,60,589740,128,20
2024-01-15,M106,Z7 5G,iQOO,128GB,Mobile,18876,60,1132560,149,20
2024-01-15,M107,Neo 7 Pro,iQOO,256GB,Mobile,21309,10,213090,135,20
2024-01-15,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,13487,63,849681,68,30
2024-01-15,M109,Nord 3 5G,OnePlus,256GB,Mobile,20462,41,838942,114,30
2024-01-15,M110,G73 5G,Motorola,128GB,Mobile,11895,40,475800,98,20
2024-01-15,M111,Edge 40 Neo,Motorola,128GB,Mobile,17047,58,988726,100,20
2024-01-15,M112,T2 5G,Vivo,128GB,Mobile,22245,69,1534905,88,20
2024-01-15,M113,Y27,Vivo,64GB,Mobile,18489,25,462225,119,10
2024-01-15,M114,A78,Oppo,128GB,Mobile,22988,59,1356292,59,20
2024-01-15,M115,Reno8 T,Oppo,128GB,Mobile,21114,57,1203498,70,10
2024-01-15,M116,X5 Pro,Poco,256GB,Mobile,17848,61,1088728,146,30
2024-01-15,M117,M6 Pro,Poco,128GB,Mobile,17993,60,1079580,114,20
2024-01-15,M118,Zero 5G 2023,Infinix,128GB,Mobile,11987,14,167818,34,20
2024-01-15,M119,Spark 10,Tecno,64GB,Mobile,18521,65,1203865,72,30
2024-01-16,M100,Galaxy M14,Samsung,64GB,Mobile,12623,34,429182,42,5
2024-01-16,M101,Galaxy A15,Samsung,128GB,Mobile,24972,10,249720,122,0
2024-01-16,M102,Note 12,Redmi,128GB,Mobile,21090,5,105450,49,10
2024-01-16,M103,12C,Redmi,64GB,Mobile,24114,40,964560,73,5
2024-01-16,M104,Narzo 60,Realme,128GB,Mobile,20721,22,455862,40,10
2024-01-16,M105,C55,Realme,64GB,Mobile,26110,32,835520,70,5
2024-01-16,M106,Z7 5G,iQOO,128GB,Mobile,27728,5,138640,109,0
2024-01-16,M107,Neo 7 Pro,iQOO,256GB,Mobile,15922,19,302518,117,10
2024-01-16,M108,Nord CE 3 Lite,OnePlus,128GB,Mobile,15708,28,439824,41,10
2024-01-16,M109,Nord 3 5G,OnePlus,256GB,Mobile,11902,7,83314,120,10
2024-01-16,M110,G73 5G,Motorola,128GB,Mobile,24538,20,490760,118,0
2024-01-16,M111,Edge 40 Neo,Motorola,128GB,Mobile,10948,4,43792,71,0
2024-01-16,M112,T2 5G,Vivo,128GB,Mobile,18632,28,521696,77,5
2024-01-16,M113,Y27,Vivo,64GB,Mobile,14770,27,398790,97,0
2024-01-16,M114,A78,Oppo,128GB,Mobile,25689,12,308268,131,10
2024-01-16,M115,Reno8 T,Oppo,128GB,Mobile,15570,40,622800,40,0
2024-01-16,M116,X5 Pro,Poco,256GB,Mobile,20281,16,324496,117,10
2024-01-16,M117,M6 Pro,Poco,128GB,Mobile,23676,15,355140,48,10
2024-01-16,M118,Zero 5G 2023,Infinix,128GB,Mobile,22599,30,677970,62,10
2024-01-16,M119,Spark 10,Tecno,64GB,Mobile,16529,29,479341,31,10
2024-01-17,M100,Galaxy M14,Samsung,64GB,Mobile,23982,35,839370,116,5
2024-01-17,M101,Galaxy A15,Samsung,128GB,Mobile,15176,23,349048,86,0
2024-01-17,M102,Note 12,Redmi,128GB,Mobile,27790,28,778120,111,5
2024-01-17,M103,12C,Redmi,64GB,Mobile,17285,20,345700,138,5
2024-01-17,M104,Narzo 60,Realme,128GB,Mobile,15700,31,486700,139,5
