date,product_id,views,clicks,add_to_cart,purchases,bounce_rate
2024-01-09,M114,229,41,13,9,24.89
2024-01-09,M115,284,54,34,26,43.62
2024-01-09,M116,30,3,0,2,50.82
2024-01-09,M117,229,73,57,9,76.91
2024-01-09,M118,491,54,38,17,52.05
2024-01-09,M119,312,50,22,30,39.3
2024-01-10,M100,561,142,39,25,78.25
2024-01-10,M101,108,28,18,6,62.56
2024-01-10,M102,561,108,51,35,40.55
2024-01-10,M103,103,18,6,5,23.33
2024-01-10,M104,227,81,35,13,35.82
2024-01-10,M105,170,49,38,16,50.43
2024-01-10,M106,93,33,19,8,49.24
2024-01-10,M107,428,165,38,17,55.79
2024-01-10,M108,432,73,52,39,61.96
2024-01-10,M109,93,26,14,7,71.94
2024-01-10,M110,240,35,13,20,60.84
2024-01-10,M111,716,108,70,25,42.71
2024-01-10,M112,62,16,11,5,36.54
2024-01-10,M113,333,104,26,16,40.57
2024-01-10,M114,404,70,25,20,59.49
2024-01-10,M115,484,151,34,37,37.72
2024-01-10,M116,745,278,95,28,28.8
2024-01-10,M117,380,66,51,22,74.3
2024-01-10,M118,327,92,48,32,77.12
2024-01-10,M119,672,249,120,30,37.78
2024-01-11,M100,398,149,97,34,60.73
2024-01-11,M101,1045,174,115,35,73.72
2024-01-11,M102,461,159,127,38,23.81
2024-01-11,M103,359,130,35,16,69.37
2024-01-11,M104,637,249,111,29,54.59
2024-01-11,M105,831,307,185,40,68.23
2024-01-11,M106,737,106,73,32,30.79
2024-01-11,M107,307,119,71,14,75.37
2024-01-11,M108,366,65,13,18,28.27
2024-01-11,M109,376,46,32,18,52.08
2024-01-11,M110,138,21,9,13,49.17
2024-01-11,M111,729,73,27,27,74.41
2024-01-11,M112,424,144,34,16,39.84
2024-01-11,M113,373,87,32,32,22.49
2024-01-11,M114,392,69,40,19,69.75
2024-01-11,M115,349,39,11,16,63.86
2024-01-11,M116,694,233,68,24,58.82
2024-01-11,M117,449,112,23,23,57.43
2024-01-11,M118,520,82,16,22,71.57
2024-01-11,M119,480,59,18,18,79.31
2024-01-12,M100,95,34,13,8,58.35
2024-01-12,M101,496,142,45,35,21.4
2024-01-12,M102,578,143,48,31,61.31
2024-01-12,M103,811,274,148,34,54.11
2024-01-12,M104,317,60,19,13,54.47
2024-01-12,M105,331,56,36,12,22.5
2024-01-12,M106,988,371,184,35,22.58
2024-01-12,M107,99,20,11,4,76.07
2024-01-12,M108,259,66,29,9,68.68
2024-01-12,M109,30,12,4,1,22.63
2024-01-12,M110,602,202,117,31,36.89
2024-01-12,M111,76,17,6,4,50.83
2024-01-12,M112,65,23,4,5,57.84
2024-01-12,M113,493,189,113,37,43.36
2024-01-12,M114,1014,280,191,37,32.68
2024-01-12,M115,152,36,19,8,78.82
2024-01-12,M116,550,97,57,39,67.65
2024-01-12,M117,669,104,35,29,49.6
2024-01-12,M118,886,114,62,38,61.96
2024-01-12,M119,789,81,31,40,78.17
2024-01-13,M100,174,23,16,7,45.2
2024-01-13,M101,241,63,46,17,45.38
2024-01-13,M102,234,24,13,12,46.93
2024-01-13,M103,30,5,4,1,74.11
2024-01-13,M104,805,84,24,39,31.8
2024-01-13,M105,182,41,24,15,41.91
2024-01-13,M106,372,84,28,30,60.85
2024-01-13,M107,204,48,16,17,60.76
2024-01-13,M108,176,44,23,13,68.54
2024-01-13,M109,311,85,20,15,40.81
2024-01-13,M110,212,28,16,10,27.74
2024-01-13,M111,330,71,18,20,32.55
2024-01-13,M112,974,264,130,37,46.54
2024-01-13,M113,571,71,38,30,78.12
2024-01-13,M114,367,63,18,18,60.8
2024-01-13,M115,617,238,166,29,55.01
2024-01-13,M116,606,177,50,28,54.36
2024-01-13,M117,25,10,7,2,54.53
2024-01-13,M118,777,188,132,37,76.2
2024-01-13,M119,387,112,49,18,45.78
2024-01-14,M100,219,36,24,12,34.1
2024-01-14,M101,620,244,174,29,35.83
2024-01-14,M102,751,176,105,28,77.29
2024-01-14,M103,421,129,84,23,22.95
2024-01-14,M104,117,26,20,7,70.85
2024-01-14,M105,410,110,55,32,34.66
2024-01-14,M106,266,38,25,26,31.14
2024-01-14,M107,63,25,16,6,45.95
2024-01-14,M108,141,27,11,8,71.02
2024-01-14,M109,14,5,4,1,32.76
2024-01-14,M110,57,11,6,4,79.9
2024-01-14,M111,814,155,64,40,22.4
2024-01-14,M112,111,19,8,4,34.4
2024-01-14,M113,131,38,21,9,42.56
2024-01-14,M114,927,187,70,32,29.92
2024-01-14,M115,874,208,120,39,75.98
2024-01-14,M116,281,56,32,20,59.1
2024-01-14,M117,317,48,16,27,61.16
2024-01-14,M118,85,26,8,8,35.08
2024-01-14,M119,100,12,8,10,57.01
2024-01-15,M100,653,259,95,42,50.98
2024-01-15,M101,700,105,48,40,77.69
2024-01-15,M102,956,131,103,45,55.46
2024-01-15,M103,632,218,45,48,67.98
2024-01-15,M104,427,126,66,18,71.72
2024-01-15,M105,1272,264,139,60,27.61
2024-01-15,M106,1396,168,89,60,39.42
2024-01-15,M107,245,32,12,10,53.07
2024-01-15,M108,1082,171,37,63,20.23
2024-01-15,M109,812,282,128,41,79.08
2024-01-15,M110,618,233,85,40,31.06
2024-01-15,M111,1465,466,170,58,74.82
2024-01-15,M112,1699,399,198,69,48.01
2024-01-15,M113,354,44,21,25,73.2
2024-01-15,M114,1626,520,121,59,77.3
2024-01-15,M115,1392,291,180,57,21.7
2024-01-15,M116,1517,152,56,61,53.51
2024-01-15,M117,707,130,74,60,67.85
2024-01-15,M118,311,109,61,14,30.17
2024-01-15,M119,1681,575,270,65,28.12
2024-01-16,M100,634,84,62,34,69.45
2024-01-16,M101,263,86,67,10,62.48
2024-01-16,M102,143,17,5,5,73.87
2024-01-16,M103,676,71,55,40,72.11
2024-01-16,M104,462,139,91,22,30.02
2024-01-16,M105,784,185,54,32,42.28
2024-01-16,M106,50,18,5,5,20.83
2024-01-16,M107,210,52,35,19,31.45
2024-01-16,M108,800,249,140,28,58.06
2024-01-16,M109,173,67,29,7,76.75
2024-01-16,M110,573,75,33,20,54.42
2024-01-16,M111,74,17,12,4,49.14
2024-01-16,M112,493,75,48,28,75.52
2024-01-16,M113,766,267,200,27,70.32
2024-01-16,M114,301,65,51,12,67.38
2024-01-16,M115,663,219,172,40,45.63
2024-01-16,M116,461,126,65,16,20.85
2024-01-16,M117,294,105,47,15,28.58
2024-01-16,M118,726,270,165,30,37.8
2024-01-16,M119,420,58,25,29,78.52
2024-01-17,M100,613,158,43,35,27.85
2024-01-17,M101,310,122,94,23,55.14
2024-01-17,M102,826,288,223,28,24.48
2024-01-17,M103,253,67,52,20,37.3
2024-01-17,M104,657,123,56,31,20.98
2024-01-17,M105,1086,145,52,37,61.1
2024-01-17,M106,413,135,47,19,28.25
2024-01-17,M107,278,102,53,18,62.19
2024-01-17,M108,78,22,8,4,30.36
2024-01-17,M109,516,92,39,19,43.86
2024-01-17,M110,466,175,124,23,49.5
2024-01-17,M111,925,348,203,40,28.48
2024-01-17,M112,122,25,19,9,51.55
2024-01-17,M113,64,21,4,3,39.79
2024-01-17,M114,519,125,33,24,43.28
2024-01-17,M115,215,70,18,19,79.25
2024-01-17,M116,171,61,28,12,54.53
2024-01-17,M117,728,174,73,35,48.05
2024-01-17,M118,474,184,147,18,78.11
2024-01-17,M119,710,77,58,31,39.47
2024-01-18,M100,439,156,110,22,36.16
2024-01-18,M101,298,78,27,10,73.02
2024-01-18,M102,507,50,37,26,57.25
2024-01-18,M103,715,110,47,26,43.7
2024-01-18,M104,110,14,10,8,23.56
2024-01-18,M105,242,77,20,17,43.05
2024-01-18,M106,307,30,9,24,45.12
2024-01-18,M107,674,148,86,31,61.06
2024-01-18,M108,776,148,71,36,49.96
2024-01-18,M109,116,36,17,5,39.67
2024-01-18,M110,637,189,82,27,25.99
2024-01-18,M111,41,8,4,3,45.86
2024-01-18,M112,71,7,1,7,43.18
2024-01-18,M113,478,133,92,25,67.21
2024-01-18,M114,774,283,191,35,71.35
2024-01-18,M115,174,60,15,10,41.44
2024-01-18,M116,744,171,79,32,35.32
2024-01-18,M117,294,48,14,24,73.51
2024-01-18,M118,314,64,16,16,66.19
2024-01-18,M119,541,210,102,24,75.98
2024-01-19,M100,40,6,2,4,32.1
2024-01-19,M101,184,52,37,8,21.02
2024-01-19,M102,259,65,43,14,72.04
2024-01-19,M103,593,75,43,22,21.19
2024-01-19,M104,621,166,57,37,22.73
2024-01-19,M105,997,251,118,36,29.23
2024-01-19,M106,258,90,59,15,44.67
2024-01-19,M107,567,67,34,39,63.88
2024-01-19,M108,238,91,32,10,21.82
2024-01-19,M109,275,62,16,12,32.76
2024-01-19,M110,57,5,4,2,58.28
2024-01-19,M111,470,168,109,16,49.09
2024-01-19,M112,336,106,83,12,28.1
2024-01-19,M113,549,140,47,27,53.31
2024-01-19,M114,64,12,7,5,43.35
2024-01-19,M115,378,104,21,24,37.93
2024-01-19,M116,333,92,31,29,41.24
2024-01-19,M117,79,19,15,3,61.48
2024-01-19,M118,39,11,2,2,54.38
2024-01-19,M119,770,240,105,26,54.38
2024-01-20,M100,339,76,52,32,69.7
2024-01-20,M101,157,50,11,6,28.42
2024-01-20,M102,105,10,3,5,63.03
2024-01-20,M103,636,132,44,38,59.04
2024-01-20,M104,664,77,29,25,78.17
2024-01-20,M105,662,201,116,30,78.5
2024-01-20,M106,105,31,22,7,36.82
2024-01-20,M107,377,96,31,36,70.66
2024-01-20,M108,228,27,12,15,25.78
2024-01-20,M109,750,245,166,30,48.27
2024-01-20,M110,206,47,23,7,41.75
2024-01-20,M111,357,49,30,17,38.53
2024-01-20,M112,835,313,170,31,64.27
2024-01-20,M113,176,60,45,6,63.3
2024-01-20,M114,343,34,22,24,51.32
2024-01-20,M115,492,130,92,36,72.43
2024-01-20,M116,211,56,17,8,54.23
2024-01-20,M117,442,106,49,28,30.1
2024-01-20,M118,419,44,31,20,58.57
2024-01-20,M119,891,281,215,33,65.4
2024-01-21,M100,479,164,85,31,70.32
2024-01-21,M101,659,197,65,36,25.92
2024-01-21,M102,407,64,12,18,43.04
2024-01-21,M103,466,100,62,28,78.0
2024-01-21,M104,1057,149,76,36,25.54
2024-01-21,M105,451,68,42,18,52.45
2024-01-21,M106,276,64,21,20,73.18
2024-01-21,M107,165,39,17,6,53.79
2024-01-21,M108,684,227,50,26,76.01
2024-01-21,M109,29,5,2,2,47.61
2024-01-21,M110,213,49,29,14,48.43
2024-01-21,M111,450,173,108,22,21.62
2024-01-21,M112,287,49,16,21,48.29
2024-01-21,M113,113,14,2,4,62.51
2024-01-21,M114,1181,337,147,40,69.44
2024-01-21,M115,457,159,38,18,60.27
2024-01-21,M116,885,231,165,32,79.07
2024-01-21,M117,477,129,58,18,24.24
2024-01-21,M118,635,176,88,23,49.78
2024-01-21,M119,701,121,91,38,24.64
2024-01-22,M100,478,185,116,20,61.13
2024-01-22,M101,853,192,97,39,50.85
2024-01-22,M102,380,112,30,20,39.22
2024-01-22,M103,478,61,47,17,54.86
2024-01-22,M104,21,6,4,1,30.06
2024-01-22,M105,331,103,33,12,50.33
2024-01-22,M106,431,156,83,15,32.32
2024-01-22,M107,241,43,8,23,61.11
2024-01-22,M108,55,7,2,3,34.27
2024-01-22,M109,101,31,9,5,30.82
2024-01-22,M110,1016,115,65,37,64.29
2024-01-22,M111,372,56,44,27,58.61
2024-01-22,M112,26,10,8,2,28.03
2024-01-22,M113,427,167,33,40,74.92
2024-01-22,M114,438,52,17,24,22.82
2024-01-22,M115,103,24,19,7,66.76
2024-01-22,M116,407,89,52,26,56.4
2024-01-22,M117,318,59,28,20,74.32
2024-01-22,M118,240,79,57,11,38.23
2024-01-22,M119,196,77,17,8,34.56
2024-01-23,M100,391,44,21,23,49.45
2024-01-23,M101,217,86,56,10,44.83
2024-01-23,M102,435,100,32,17,40.3
2024-01-23,M103,276,84,16,10,68.02
2024-01-23,M104,772,137,39,32,65.96
2024-01-23,M105,1053,216,68,38,39.37
2024-01-23,M106,718,232,56,37,60.88
2024-01-23,M107,296,69,41,10,60.57
2024-01-23,M108,323,77,23,29,58.62
2024-01-23,M109,107,40,27,4,56.21
2024-01-23,M110,578,113,88,20,36.43
2024-01-23,M111,75,15,3,4,38.67
2024-01-23,M112,125,46,15,6,26.28
2024-01-23,M113,378,76,19,30,38.51
2024-01-23,M114,60,7,1,3,65.15
2024-01-23,M115,246,65,16,13,31.91
2024-01-23,M116,878,314,91,33,39.46
2024-01-23,M117,170,66,47,7,56.1
2024-01-23,M118,368,110,78,33,72.7
2024-01-23,M119,751,233,160,29,52.26
2024-01-24,M100,545,113,60,40,68.26
2024-01-24,M101,511,119,68,19,45.58
2024-01-24,M102,369,69,39,22,78.58
2024-01-24,M103,514,126,28,22,74.9
2024-01-24,M104,597,167,125,36,71.37
2024-01-24,M105,695,277,60,39,23.98
2024-01-24,M106,603,94,57,38,39.16
2024-01-24,M107,483,175,99,26,59.71
2024-01-24,M108,171,24,15,6,54.94
2024-01-24,M109,475,140,85,22,62.39
2024-01-24,M110,504,87,59,34,46.35
2024-01-24,M111,386,103,45,28,77.7
2024-01-24,M112,636,253,103,24,62.64
2024-01-24,M113,289,100,73,22,25.32
2024-01-24,M114,233,70,56,9,38.26
2024-01-24,M115,111,25,12,7,30.5
2024-01-24,M116,432,139,74,34,24.14
2024-01-24,M117,755,235,112,40,52.25
2024-01-24,M118,249,79,39,10,21.44
2024-01-24,M119,877,193,76,40,37.5
2024-01-25,M100,54,20,15,3,35.28
2024-01-25,M101,250,40,19,16,64.58
2024-01-25,M102,655,204,76,29,59.02
2024-01-25,M103,521,176,69,20,64.44
2024-01-25,M104,994,157,85,37,23.82
2024-01-25,M105,191,40,8,19,76.9
2024-01-25,M106,439,62,44,27,59.86
2024-01-25,M107,804,224,62,39,58.73
2024-01-25,M108,603,85,31,31,67.26
2024-01-25,M109,146,31,21,7,43.2
2024-01-25,M110,173,20,15,6,55.45
2024-01-25,M111,905,194,126,33,49.21
2024-01-25,M112,380,74,15,15,64.16
2024-01-25,M113,28,11,8,2,63.14
2024-01-25,M114,458,182,87,33,37.32
2024-01-25,M115,141,29,11,6,66.24
2024-01-25,M116,224,41,21,21,77.7
2024-01-25,M117,544,143,31,22,54.51
2024-01-25,M118,520,201,89,19,62.42
2024-01-25,M119,137,20,12,9,73.44
2024-01-26,M100,23,8,4,1,47.58
2024-01-26,M101,333,86,43,14,46.13
2024-01-26,M102,469,46,13,39,79.84
2024-01-26,M103,391,156,61,19,36.67
2024-01-26,M104,44,6,2,4,28.02
2024-01-26,M105,1115,223,112,40,56.82
2024-01-26,M106,877,107,30,32,73.98
2024-01-26,M107,266,82,43,16,53.22
2024-01-26,M108,23,9,3,1,57.03
2024-01-26,M109,286,40,23,27,71.85
2024-01-26,M110,138,17,8,6,28.98
2024-01-26,M111,651,135,78,34,27.22
2024-01-26,M112,630,69,52,33,29.85
2024-01-26,M113,561,145,37,31,47.48
2024-01-26,M114,675,168,79,24,46.06
2024-01-26,M115,387,55,35,23,68.81
2024-01-26,M116,98,26,17,7,34.78
2024-01-26,M117,604,92,42,22,33.09
2024-01-26,M118,931,275,219,35,42.88
2024-01-26,M119,642,155,105,30,65.48
2024-01-27,M100,253,48,24,9,61.12
2024-01-27,M101,684,135,38,30,37.92
2024-01-27,M102,32,3,0,3,75.64
2024-01-27,M103,480,130,26,20,78.37
2024-01-27,M104,692,156,39,35,63.72
2024-01-27,M105,236,57,29,13,75.52
2024-01-27,M106,72,24,16,4,48.87
2024-01-27,M107,332,101,78,24,52.16
2024-01-27,M108,290,67,43,29,65.3
2024-01-27,M109,559,71,30,32,75.51
2024-01-27,M110,622,158,124,34,64.34
2024-01-27,M111,365,83,59,28,48.93
2024-01-27,M112,268,51,14,12,41.46
2024-01-27,M113,99,17,12,7,47.48
2024-01-27,M114,454,164,107,19,69.43
2024-01-27,M115,498,65,21,28,72.49
2024-01-27,M116,234,60,12,23,54.99
2024-01-27,M117,376,68,41,23,49.73
2024-01-27,M118,95,22,5,4,50.83
2024-01-27,M119,313,120,91,26,68.26
2024-01-28,M100,238,29,6,11,25.99
2024-01-28,M101,1103,384,198,39,77.9
2024-01-28,M102,60,15,6,5,54.94
2024-01-28,M103,406,51,40,24,23.9
2024-01-28,M104,158,42,23,10,52.09
2024-01-28,M105,464,72,14,29,49.15
2024-01-28,M106,901,129,95,34,47.37
2024-01-28,M107,203,59,36,18,57.85
2024-01-28,M108,201,47,18,12,27.73
2024-01-28,M109,825,296,72,36,44.39
2024-01-28,M110,450,45,13,17,71.82
2024-01-28,M111,486,98,34,19,75.47
2024-01-28,M112,108,33,14,9,30.75
2024-01-28,M113,490,52,35,29,21.99
2024-01-28,M114,304,54,13,21,31.1
2024-01-28,M115,874,308,146,36,78.61
2024-01-28,M116,553,140,30,20,60.52
2024-01-28,M117,354,141,45,12,30.09
2024-01-28,M118,104,16,7,8,67.3
2024-01-28,M119,347,85,43,32,48.82
2024-01-29,M100,475,127,34,37,35.37
2024-01-29,M101,962,168,35,36,25.73
2024-01-29,M102,170,42,21,6,73.57
2024-01-29,M103,520,184,54,31,27.72
2024-01-29,M104,409,75,17,27,21.89
2024-01-29,M105,373,66,50,21,27.83
2024-01-29,M106,1020,192,44,34,42.35
2024-01-29,M107,503,57,17,36,77.65
2024-01-29,M108,247,29,7,9,26.83
2024-01-29,M109,66,14,10,4,38.4
2024-01-29,M110,314,104,32,20,31.55
2024-01-29,M111,239,69,24,15,51.02
2024-01-29,M112,249,51,15,19,34.6
2024-01-29,M113,972,227,130,36,69.94
2024-01-29,M114,410,127,61,20,40.0
2024-01-29,M115,165,35,12,11,50.04
2024-01-29,M116,186,67,32,11,56.56
2024-01-29,M117,808,283,57,37,30.4
2024-01-29,M118,67,22,10,3,45.76
2024-01-29,M119,277,49,32,14,23.27
2024-01-30,M100,57,16,6,2,46.24
2024-01-30,M101,422,123,84,19,57.51
2024-01-30,M102,508,120,94,26,58.22
2024-01-30,M103,86,13,9,4,69.82
2024-01-30,M104,674,170,133,31,25.53
2024-01-30,M105,1094,199,88,39,78.91
2024-01-30,M106,416,88,69,21,39.95
2024-01-30,M107,673,83,33,24,49.28
2024-01-30,M108,409,162,52,21,42.18
2024-01-30,M109,306,111,87,18,23.63
2024-01-30,M110,176,43,17,7,26.31
2024-01-30,M111,884,277,111,40,34.95
2024-01-30,M112,327,106,68,11,29.56
2024-01-30,M113,436,112,72,21,46.06
2024-01-30,M114,655,235,106,33,40.28
2024-01-30,M115,487,152,46,20,65.71
2024-01-30,M116,607,123,43,26,37.38
2024-01-30,M117,338,96,56,14,29.04
2024-01-30,M118,53,15,10,4,24.91
2024-01-30,M119,778,298,224,31,61.87
2024-01-31,M100,708,120,94,28,75.87
2024-01-31,M101,335,67,26,17,76.41
2024-01-31,M102,48,17,11,3,39.71
2024-01-31,M103,799,142,113,36,54.67
2024-01-31,M104,401,140,40,19,43.6
2024-01-31,M105,841,121,61,29,53.93
2024-01-31,M106,1004,221,63,40,44.92
2024-01-31,M107,622,119,87,26,25.0
2024-01-31,M108,441,175,118,24,31.8
2024-01-31,M109,802,102,21,33,34.69
2024-01-31,M110,61,12,9,3,27.85
2024-01-31,M111,250,85,61,22,29.96
2024-01-31,M112,297,29,8,10,36.43
2024-01-31,M113,524,160,93,21,77.54
2024-01-31,M114,1128,121,95,40,73.77
2024-01-31,M115,725,259,121,33,54.43
2024-01-31,M116,490,82,23,37,78.74
2024-01-31,M117,45,16,6,2,55.53
2024-01-31,M118,156,43,20,8,31.04
2024-01-31,M119,37,5,2,2,43.32
2024-02-01,M100,1099,260,140,38,65.04
2024-02-01,M101,66,12,3,4,47.6
2024-02-01,M102,939,246,51,34,32.91
2024-02-01,M103,453,112,86,16,70.79
2024-02-01,M104,100,31,9,8,30.89
2024-02-01,M105,421,131,75,21,63.12
2024-02-01,M106,375,48,28,14,44.6
2024-02-01,M107,1088,121,76,40,60.92
2024-02-01,M108,110,25,11,4,39.72
2024-02-01,M109,974,153,34,36,26.29
2024-02-01,M110,738,100,30,34,40.99
2024-02-01,M111,884,102,27,30,44.08
